locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CSB Ambohitrolomahitsy,active,create,a655ed3a-d2c1-4658-8b2f-59d7b5078b0b,,a5e56324-dfbe-4373-827e-772232cfc7e0,CSB2,csb2,5,Building,bu,47.68,-18.907
CSB Ambohitromby,active,create,222aef54-f78c-4076-89e2-43ea14088ebe,,af321c16-0325-4ec3-a570-14575cbbd71b,CSB2,csb2,5,Building,bu,47.17,-18.408
CSB Ambohitromby,active,create,25ccde16-19ae-4e73-b093-ea61a1964967,,6563266a-7170-4590-bd92-59c17d102eb2,CSB2,csb2,5,Building,bu,46.421,-16.11
CSB Ambohitromby,active,create,40ba4b14-49c2-45a2-99ee-14ad2121b4aa,,9ea290a2-96e7-4c4a-a77d-6049bda4be16,CSB1,csb1,5,Building,bu,47.129,-17.38
CSB Ambohitromby,active,create,60be0cc3-c18a-4745-97ad-fb8085578f67,,f6d21453-be90-4b62-9484-8fbc6aa07ce2,CSB1,csb1,5,Building,bu,46.593,-19.888
CSB Ambohitrony,active,create,cde0ae18-5c67-4f04-9c18-4901363fddef,,19500863-ce77-4afb-adbe-d6e37e50ca23,CSB2,csb2,5,Building,bu,47.769,-18.966
CSB Ambohitsampanana,active,create,8c7c7ee0-9076-4849-9e3d-9e5d5484b18d,,f359d7ef-833e-4d70-838d-112a770bc5c2,CSB2,csb2,5,Building,bu,47.217,-19.904
CSB Ambohitsara,active,create,a231bd17-af77-41fa-bad8-642f41319288,,5d21df87-8b80-4067-b1eb-3b5eb75cb7e3,CSB1,csb1,5,Building,bu,47.128,-20.199
CSB Ambohitsara Manakana,active,create,7b156fe9-1e85-4cf8-98b6-1b9e70d451ed,,37ecfd37-c950-4fec-a4c4-a6d99de4cdd5,CSB2,csb2,5,Building,bu,,
CSB Ambohitseheno,active,create,45419fcc-290f-4a5f-9e7c-895d31552388,,b875129f-a545-4149-890a-93153b9090f2,CSB2,csb2,5,Building,bu,47.775,-18.875
CSB Ambohitsilaozana,active,create,8a0271f8-b3e1-4e96-a494-377a03f9bcff,,925a78d0-e532-40f7-85a3-c1cba1553220,CSB2,csb2,5,Building,bu,48.468,-17.702
